L:J-International Airport, -6917.526367, 208.745651, -2993.088867, -1.557750, 0.000328, -0.000013
L:P-International Airport, -6469.900879, 208.770813, -3106.025391, -0.788359, 0.013981, -0.001308
L:G-International Airport, -6748.115723, 220.124893, -3594.007812, -0.341135, 0.005483, 0.007272
L:G-Pekan Hutan Lama, -6909.710449, 206.193344, -2106.221191, 2.535329, 0.010767, -0.000001
L:H-International Airport, -6238.078613, 216.100006, -3539.983154, -0.756717, 0.000108, -0.000003
L:G-Kampung Ketam Laut, -7858.231445, 207.267883, -2245.833252, 0.369627, 0.010928, -0.000418
L:W-Kampung Ketam Laut, -7984.856445, 199.275574, -2229.810303, 1.812183, -0.009739, -0.041448
L:G-Outer District Gas East, -8143.361328, 236.305496, -809.376404, -1.817212, 0.010767, -0.000001
L:G-Outer District Secret Valley, -8848.166016, 261.782135, -1527.348999, -1.326104, 0.031651, -0.009232
L:G-Outer District Gas West, -10607.279297, 239.729630, -539.968933, -0.417834, 0.010767, -0.000000
L:G-Outer District Monument, -10899.631836, 238.883972, -689.587097, 3.096064, -0.000684, -0.012430
L:G-Outer District Gas North, -8841.356445, 265.141968, -3454.848389, -1.538757, 0.010767, -0.000007
L:H-Bandar Selekeh, -7182.208984, 222.812134, -4747.201660, -2.361220, 0.026804, 0.004942
L:W-Pulau Penjala, -5007.367676, 199.385712, -3894.889648, 2.229723, -0.010331, 0.000902
L:H-Pulau Penjala, -4926.874023, 202.645996, -3951.101074, -2.302706, -0.011862, 0.002351
L:H-Pelantar Gas Telok Panau, -4858.590820, 259.704620, -1397.708252, -1.267751, 0.010322, -0.000155
L:W-Pelantar Gas Telok Panau, -4902.750000, 199.393997, -1430.711426, -1.245100, -0.010019, 0.000627
L:H-Three Windmills Island, -5069.100586, 211.513535, -379.796600, 1.747465, -0.048609, 0.014545
L:H-Kampung Anjing Gila, -5816.416016, 212.774857, 698.587524, 2.577834, 0.010718, -0.000390
L:W-Kampung Anjing Gila, -5961.194824, 199.389740, 584.739075, 1.021658, -0.010214, 0.000866
L:H-Scuttlebutt Island, -14112.720703, 213.855301, 412.513885, 1.835672, 0.028819, 0.016680
L:H-Banana Island, -14818.192383, 207.633484, -663.294128, -1.633307, -0.013340, -0.134797
L:O-Residential District Beach, -12032.862305, 202.586273, 29.192657, 1.905827, -0.005957, 0.000003
L:W-Residential District Beach, -12025.334961, 199.392105, 86.565796, 1.928044, -0.010156, 0.000854
L:O-Residential District S Overlook, -12774.138672, 303.430115, -264.635834, -0.238946, -0.005952, -0.000002
L:O-Residential District N Overlook, -12851.058594, 313.702179, -1774.770508, 2.070682, -0.005596, -0.000494
L:H-Residential District Hospital, -12814.376953, 302.150818, -1106.392090, 0.174006, 0.019205, -0.000418
L:G-Residential District Hospital, -12858.373047, 202.856552, -1122.957275, 2.566170, 0.010769, -0.000001
L:H-Residential District Doubletowers, -13213.463867, 371.770050, -897.110535, 1.989741, -0.019396, -0.000462
L:H-Residential District Hotel, -12096.475586, 266.128998, -1098.620361, -0.167233, 0.004741, -0.000378
L:H-Residential District Gang HQ, -11495.320312, 302.150635, -771.872803, 2.768545, 0.019221, -0.000417
L:G-Residential District East Gas, -11489.483398, 203.041870, -943.716309, -1.554263, 0.010769, 0.000001
L:G-Residential District Plaza, -11622.476562, 211.856598, -944.797180, 2.970733, 0.010769, -0.000000
L:W-Residential District East Shore, -11747.267578, 199.395584, -1054.719238, -0.508438, -0.009870, 0.000397
L:G-Residential District NE Gas, -11916.278320, 203.004211, -1261.245850, 1.684341, 0.010767, -0.000001
L:G-Residential District Harbor, -12226.587891, 203.018082, -826.392639, -0.544808, 0.010908, 0.000012
L:W-Residential District Canal, -12364.148438, 199.396225, -1361.288330, 3.001111, -0.009827, 0.000322
L:H-Residential District Embassy, -12408.572266, 230.471161, -1474.547729, -2.922175, 0.020045, -0.000449
L:G-Residential District Park, -12359.706055, 202.937073, -1537.478394, 2.503717, 0.010769, -0.000001
L:G-Residential District Parade Grounds, -13047.636719, 203.004196, -1496.468018, -1.594629, 0.010764, 0.000001
L:G-Residential District High School, -13354.181641, 203.004211, -1509.935547, 2.625965, 0.010769, 0.000001
L:G-Residential District Waterfront, -12978.783203, 203.007080, -709.923218, -3.080075, 0.011085, 0.000002
L:G-Residential District Doubletowers, -13219.283203, 208.856598, -939.828613, 0.802502, 0.010766, 0.000001
L:H-Docks District Bluetower, -15269.699219, 349.730286, -2323.561035, -0.393942, 0.019972, -0.000452
L:H-Docks District Workers Housing, -15472.133789, 269.127472, -2354.860107, 1.269903, 0.019999, -0.000452
L:W-Docks District Tanker Dock, -15031.956055, 199.397446, -3566.619873, -0.106048, -0.009761, 0.000262
L:H-Docks District Cargo Dock, -14920.038086, 211.844391, -3138.069824, 0.066245, 0.019941, -0.000442
L:H-Docks District Greentower, -15015.357422, 302.147644, -2314.841797, 1.586947, 0.019930, -0.000540
L:G-Docks District Cargo Dock, -14965.932617, 202.856674, -2847.972168, 3.048566, 0.010796, -0.000026
L:G-Docks District Vacant Lot, -15006.792969, 203.004211, -1951.169678, -2.069060, 0.010769, 0.000001
L:G-Docks District Storage, -15265.199219, 203.004211, -3288.663330, -1.223391, 0.010769, 0.000001
L:G-Docks District Shops, -15504.058594, 203.004211, -3053.547852, 1.560454, 0.010767, -0.000001
L:G-Docks District West Shore, -15675.539062, 202.970642, -2449.737305, 0.715761, 0.010766, -0.000001
L:G-Docks District Gas, -15265.478516, 202.973846, -2535.665527, 1.033838, 0.011092, 0.000003
L:G-Docks District Market, -15359.095703, 202.970642, -2682.660156, 2.542632, 0.010769, -0.000001
L:H-Park District Yellowtower, -12712.412109, 359.826996, -4272.264648, 2.574067, 0.020075, -0.000452
L:H-Park District Embassy, -12844.195312, 245.458557, -5203.890137, -2.217106, 0.020044, -0.000449
L:H-Park District Fourtowers, -12478.847656, 368.327118, -4972.936523, -1.337112, 0.020009, -0.000414
L:H-Financial District Roundtower, -10138.429688, 552.620605, -3300.016113, 0.552463, 0.019994, -0.000471
L:H-Financial District Yellowtower, -10203.239258, 368.181000, -3492.566895, 0.620648, 0.020018, -0.000452
L:H-Financial District Mall, -10087.171875, 267.273132, -3436.635254, -2.378218, 0.019962, -0.000451
L:H-Financial District Telecom, -10479.078125, 639.283569, -2687.702148, -0.792349, 0.020025, -0.000446
L:H-Financial District Yellowtower, -9970.980469, 365.727722, -2495.556641, 0.082937, -0.020722, 0.000530
L:H-Financial District Yellowtower, -9970.125000, 365.778900, -2494.495361, -0.256594, 0.019979, -0.000452
L:H-Financial District Smalltower, -10151.562500, 368.163696, -2697.108398, 2.354806, 0.020001, -0.000452
L:W-Financial District East Dock, -9408.947266, 199.405716, -2866.973633, -0.084007, -0.009718, 0.000401
L:W-Financial District Canal Dock, -10803.930664, 199.395218, -3164.624023, -0.120491, -0.009727, 0.000131
L:W-Financial District North Dock, -10270.937500, 199.399170, -3608.096191, -1.008770, -0.009645, 0.000105
L:W-Financial District West Dock, -11165.114258, 199.417160, -3094.320557, 3.044521, -0.007742, 0.003985
L:G-Financial District Water Garden, -10023.056641, 201.406570, -3343.921143, 1.516026, 0.010764, -0.000001
L:G-Financial District Restaurants, -9992.916992, 203.004166, -3609.332275, 1.595847, 0.010764, 0.000001
L:G-Financial District Back Alley, -9582.836914, 202.999542, -3289.466309, 2.619081, -0.000774, 0.000063
L:G-Financial District Condos, -9495.253906, 202.997696, -3093.915283, 2.667029, 0.010758, 0.000001
L:G-Financial District Private Docks, -9644.686523, 203.006592, -2411.312500, 3.140794, 0.010764, 0.000001
L:G-Financial District South Mall, -9991.972656, 211.856567, -2361.813477, 0.233689, 0.010761, -0.000001
L:G-Financial District Boat Ramp, -10166.356445, 203.004150, -2594.187988, 2.431621, 0.010758, -0.000001
L:G-Financial District South Plaza, -10700.147461, 222.350372, -2860.256348, -0.091406, 0.010764, -0.000001
L:G-Financial District West Docks, -11111.098633, 203.004181, -3307.871338, -1.526052, 0.010764, 0.000001
L:G-Financial District Parking, -10926.274414, 202.997711, -3746.801270, -2.103710, 0.010761, -0.000001
L:G-Financial District Tower 101, -9836.618164, 208.856552, -2591.454590, 1.011290, 0.010758, 0.000001
L:G-Financial District Central Park, -10030.561523, 203.036163, -2937.403320, -3.116870, 0.010163, 0.001379
L:O-Financial District Wildflowers, -10895.527344, 211.496399, -4005.270996, -1.257749, -0.007519, 0.025208
L:O-Financial District Bridge Pylon, -11348.470703, 207.378052, -4209.690430, -1.524401, -0.021711, 0.008913
L:O-Park District Overlook, -13618.569336, 343.804932, -5441.740723, -1.162211, 0.003740, -0.023144
L:O-Park District Drug Shack, -13488.232422, 265.059143, -5271.319336, -0.496053, 0.006859, -0.007641
L:O-Park District Park Statue, -12794.165039, 215.621994, -4932.288086, 1.842530, 0.016598, -0.025905
